data,favorite_cnt,id,reply_to_id,retweet_cnt,text,user,user_id
Wed Sep 18 18:46:58 +0000 2019,0,1174394398349545472,,0,"@althuser_val Mince, votre tir passe juste à côté ! N’hésitez pas à retenter votre chance pour remporter le ballon officiel de la #RWC2019 signé ! [LIEN]",TF1,103821088
Wed Sep 18 18:44:19 +0000 2019,0,1174393732298432513,,0,@funebre6 Mince… Votre tir passe à quelques centimètres ! N’hésitez pas à retenter votre chance ! 🏈 [LIEN],TF1,103821088
Wed Sep 18 18:43:39 +0000 2019,0,1174393563356061696,,0,@Olii_83 Mince… Votre tir passe à quelques centimètres ! N’hésitez pas à retenter votre chance ! 🏈 [LIEN],TF1,103821088
Wed Sep 18 18:42:39 +0000 2019,0,1174393314281500672,,0,"@Brin_Kevin Dommage, il aurait sûrement fallu tirer de l’autre côté ! N’hésitez pas à retenter votre chance ! 🤔 [LIEN]",TF1,103821088
Wed Sep 18 18:37:07 +0000 2019,1,1174391919423737857,,0,@Olii_83 Mince… Votre tir passe à quelques centimètres ! N’hésitez pas à retenter votre chance ! 🏈 [LIEN],TF1,103821088
Wed Sep 18 18:32:31 +0000 2019,1,1174390760340410368,,0,@Lagorath Presque… Essayez encore pour remporter le ballon officiel de la #RWC2019 signé ! [LIEN],TF1,103821088
Wed Sep 18 18:32:29 +0000 2019,0,1174390754321600512,,0,"@christophe_65 Dommage, il aurait sûrement fallu tirer de l’autre côté ! N’hésitez pas à retenter votre chance ! 🤔 [LIEN]",TF1,103821088
Wed Sep 18 18:18:49 +0000 2019,0,1174387315462025216,,0,"@creynolds094 Dommage, il aurait sûrement fallu tirer de l’autre côté ! N’hésitez pas à retenter votre chance ! 🤔 [LIEN]",TF1,103821088
Wed Sep 18 18:16:21 +0000 2019,0,1174386695732641795,,0,@flonyver C’est raté ! 😞 Vous y étiez presque ! N’hésitez pas à rejouer ! [LIEN],TF1,103821088
Wed Sep 18 18:16:10 +0000 2019,0,1174386647972098048,,0,@creynolds094 C’est raté ! 😞 Vous y étiez presque ! N’hésitez pas à rejouer ! [LIEN],TF1,103821088
Wed Sep 18 18:15:26 +0000 2019,0,1174386461266849792,,0,"@flonyver Dommage, il aurait sûrement fallu tirer de l’autre côté ! N’hésitez pas à retenter votre chance ! 🤔 [LIEN]",TF1,103821088
Wed Sep 18 18:05:14 +0000 2019,0,1174383895577600001,,0,@capitainemazet Mince… Votre tir passe à quelques centimètres ! N’hésitez pas à retenter votre chance ! 🏈 [LIEN],TF1,103821088
Wed Sep 18 18:05:11 +0000 2019,0,1174383882713620480,,0,@An13043865 Mince… Votre tir passe à quelques centimètres ! N’hésitez pas à retenter votre chance ! 🏈 [LIEN],TF1,103821088
Wed Sep 18 18:01:52 +0000 2019,0,1174383049519312897,,0,@Corenti58425671 C’est raté ! 😞 Vous y étiez presque ! N’hésitez pas à rejouer ! [LIEN],TF1,103821088
Wed Sep 18 18:00:42 +0000 2019,0,1174382754089328641,,0,@Corenti58425671 Mince… Votre tir passe à quelques centimètres ! N’hésitez pas à retenter votre chance ! 🏈 [LIEN],TF1,103821088
Wed Sep 18 17:59:54 +0000 2019,0,1174382552645345281,,0,@julien_cluzeau Presque… Essayez encore pour remporter le ballon officiel de la #RWC2019 signé ! [LIEN],TF1,103821088
Wed Sep 18 17:39:41 +0000 2019,0,1174377465864687616,,0,@Xurgooh C’est raté ! 😞 Vous y étiez presque ! N’hésitez pas à rejouer ! [LIEN],TF1,103821088
Wed Sep 18 17:32:31 +0000 2019,1,1174375662704123904,,1,"@AurelienBossy Mince, votre tir passe juste à côté ! N’hésitez pas à retenter votre chance pour remporter le ballon officiel de la #RWC2019 signé ! [LIEN]",TF1,103821088
Wed Sep 18 17:29:44 +0000 2019,1,1174374964352495622,,1,"@AurelienBossy Mince, votre tir passe juste à côté ! N’hésitez pas à retenter votre chance pour remporter le ballon officiel de la #RWC2019 signé ! [LIEN]",TF1,103821088
Wed Sep 18 17:27:01 +0000 2019,0,1174374277036040193,,0,@LxpLucas C’est raté ! 😞 Vous y étiez presque ! N’hésitez pas à rejouer ! [LIEN],TF1,103821088
Wed Sep 18 17:25:36 +0000 2019,0,1174373920507666432,,0,@Jinrofection C’est raté ! 😞 Vous y étiez presque ! N’hésitez pas à rejouer ! [LIEN],TF1,103821088
Wed Sep 18 17:25:07 +0000 2019,1,1174373801758527489,,0,"@jeom13 Dommage, il aurait sûrement fallu tirer de l’autre côté ! N’hésitez pas à retenter votre chance ! 🤔 [LIEN]",TF1,103821088
Wed Sep 18 17:24:03 +0000 2019,1,1174373530542202883,,1,@MayCarcabal Mince… Votre tir passe à quelques centimètres ! N’hésitez pas à retenter votre chance ! 🏈 [LIEN],TF1,103821088
Wed Sep 18 17:23:09 +0000 2019,0,1174373306792910850,,0,@Leodu84 C’est raté ! 😞 Vous y étiez presque ! N’hésitez pas à rejouer ! [LIEN],TF1,103821088
Wed Sep 18 17:22:27 +0000 2019,0,1174373128463638532,,0,@kainyboy69 Presque… Essayez encore pour remporter le ballon officiel de la #RWC2019 signé ! [LIEN],TF1,103821088
Wed Sep 18 17:22:26 +0000 2019,0,1174373124818821123,,0,"@bordelais1733 Mince, votre tir passe juste à côté ! N’hésitez pas à retenter votre chance pour remporter le ballon officiel de la #RWC2019 signé ! [LIEN]",TF1,103821088
Wed Sep 18 17:22:17 +0000 2019,0,1174373087011377154,,0,@bordelais1733 C’est raté ! 😞 Vous y étiez presque ! N’hésitez pas à rejouer ! [LIEN],TF1,103821088
Wed Sep 18 17:22:02 +0000 2019,0,1174373026156167169,,0,@Leodu84 C’est raté ! 😞 Vous y étiez presque ! N’hésitez pas à rejouer ! [LIEN],TF1,103821088
Wed Sep 18 17:21:25 +0000 2019,0,1174372867531845632,,0,@redox59 Presque… Essayez encore pour remporter le ballon officiel de la #RWC2019 signé ! [LIEN],TF1,103821088
Wed Sep 18 17:17:59 +0000 2019,1,1174372003706482688,,0,"@soso5930 Félicitations ! Votre tir est parfait, vous faites désormais partie du tirage au sort pour gagner le ballon officiel de la #RWC2019 signé ! 👏 [LIEN]",TF1,103821088
Wed Sep 18 17:17:18 +0000 2019,0,1174371833665265664,,0,"@julien_cluzeau Dommage, il aurait sûrement fallu tirer de l’autre côté ! N’hésitez pas à retenter votre chance ! 🤔 [LIEN]",TF1,103821088
Wed Sep 18 17:16:59 +0000 2019,0,1174371755332386816,,0,"@soso5930 Mince, votre tir passe juste à côté ! N’hésitez pas à retenter votre chance pour remporter le ballon officiel de la #RWC2019 signé ! [LIEN]",TF1,103821088
Wed Sep 18 17:14:43 +0000 2019,0,1174371185188122624,,0,@ZFarmeur Mince… Votre tir passe à quelques centimètres ! N’hésitez pas à retenter votre chance ! 🏈 [LIEN],TF1,103821088
Wed Sep 18 17:14:43 +0000 2019,0,1174371183820713984,,0,"@SebasRimb Mince, votre tir passe juste à côté ! N’hésitez pas à retenter votre chance pour remporter le ballon officiel de la #RWC2019 signé ! [LIEN]",TF1,103821088
Wed Sep 18 17:14:42 +0000 2019,0,1174371180167532544,,0,@AdrienTsonga7 Mince… Votre tir passe à quelques centimètres ! N’hésitez pas à retenter votre chance ! 🏈 [LIEN],TF1,103821088
