,id,text,date,user,user_id,favorite_cnt,retweet_cnt
71,1176779736229564416,"Coucou @UGCcinemas, depuis 1 semaine, la pub avant le film est passé de 15min à 20min aux Halles ! C'est pas cool :(",Wed Sep 25 08:45:27 +0000 2019,Fneufneu,362381682,0,0
72,1176783756537016320,"Charvet Digital Media accompagne le cinéma @UGCcinemas  Parly 2 avec l'intégration ""d'un drôle d'écran numérique aux formes biseautées."" dixit l'article ci-dessous [LIEN]",Wed Sep 25 09:01:25 +0000 2019,☞ iGirouette,224689001,2,2
73,1176856781223596033,Merci @UGCcinemas 🙏🏻 [LIEN],Wed Sep 25 13:51:36 +0000 2019,David Phu 👉🏻 @lacazanimee,2487312526,0,0
74,1176915916120088576,"Quand il y a des films que tu veux aller voir, qu'ils  ne passent que dans les @UGCcinemas à côté de chez toi et que ces cinéma ne les passe qu'en VOST 😤😤😤😤
Ils ne pensent pas à ceux qui veulent les voir en VF 🙄🙄😤😤",Wed Sep 25 17:46:35 +0000 2019,Mathilde 🎶📖,2877678299,1,0
75,1177121877917126658,"[Ciné, à voir !]
🎥 Avant-première du film Pour Sama @KMBOcinema avec les réalisateurs le #4octobre à l'@UGCcinemas des Halles à Paris, la #LDH vous fait gagner 2*2 invitations ! Savez-vous quand a débuté le conflit en #Syrie ?
Tirage au sort le 27/09.
[LIEN]",Thu Sep 26 07:25:00 +0000 2019,LDH France,85182410,1,2
76,1177137431910461440,"Dites @UGCcinemas 30€ de frais pour une carte en retrait au guichet c’est pas un peu abusé?

Et en plus on ne peut même pas l’utiliser de suite en format démat si on  la prend en ligne. 

Obligé d’attendre 4 a 5 jours pour recevoir la carte physique. 

On est au 21eme siècle!",Thu Sep 26 08:26:48 +0000 2019,KGend 🌈,985475822680264704,17,2
77,1177148767449112576,Le groupe Legendre construit le multiplexe @UGCcinemas du quartier des Bassins à Flot à #Bordeaux &gt;&gt; [LIEN] [LIEN],Thu Sep 26 09:11:51 +0000 2019,Immoweek,368378543,0,0
78,1177155682258378752,#violencesfaitesauxfemmes #balancetonporc cette nuit #Paris16 une femme enceinte de 3 mois frappée au visage et au ventre par son compagnon placé en gav 15j avant un cadre d'@UGCcinemas vivant à #Paris16 était placé en gav et déféré pour #ViolencesConjugales  @LePoint,Thu Sep 26 09:39:19 +0000 2019,aziz zemouri,947617032073351168,1,0
79,1177186539681591302,"Etampes c'est n'importe quoi. T'as McDo, KFC, Quick et bientôt Burger King mais pas un seul cinéma correct. Faites quelque chose @UGCcinemas @PatheGaumont , on est la sous-préfecture de l'Essonne vous devriez être sur place les gars, y'a de la place à côté de Leclerc 😞",Thu Sep 26 11:41:56 +0000 2019,doom,1041399369524629504,4,4
80,1177219005758787584,"Bjr @UGCcinemas, j’ai lancé la pétition [LIEN]. Avec mes 46800 signataires nous aimerions que le 04/10 pr la journée nationale du handicap visuel vous projetiez ds une salle parisienne un film audiodécrit accessible à tous pr soutenir notre combat. Merci !",Thu Sep 26 13:50:57 +0000 2019,Bourgeois Christopher,1150369473062428673,2,2
